"Ticker","CurrentPrice","ATH","ATHDate","PercentageDiff","IsRecent","DaysSinceATH"
"AIMDW","0.07","0.07","11/03/2024 00:00:00","0.00","True","0"
"AIMD","1.65","156.75","07/06/2021 00:00:00","98.95","True","1008"
"AIG_A","74.41","2,073.75","08/12/2000 00:00:00","96.41","True","8494"
"AIO","19.76","29.74","08/02/2021 00:00:00","33.54","True","1127"
"AIP","6.98","27.16","30/11/2021 00:00:00","74.30","True","832"
"AIG","74.33","2,073.75","08/12/2000 00:00:00","96.42","True","8494"
"AINC","2.51","156.25","05/02/2015 00:00:00","98.39","True","3322"
"AIM","0.38","9,438.00","09/03/2000 00:00:00","100.00","True","8768"
"AIRE","1.80","406.67","23/10/2023 00:00:00","99.56","True","140"
"AIRC","32.34","55.22","13/01/2022 00:00:00","41.43","True","788"
"AIRS","6.02","17.99","30/12/2021 00:00:00","66.54","True","802"
"AIRG","5.26","28.00","16/02/2021 00:00:00","81.21","True","1119"
"AISPW","0.48","0.48","11/03/2024 00:00:00","0.00","True","0"
"AISP","6.50","11.25","06/06/2023 00:00:00","42.22","True","279"
"AIRTP","17.00","27.44","13/06/2019 00:00:00","38.05","True","1733"
"AITR","10.31","10.31","11/03/2024 00:00:00","0.00","True","0"
"AITRR","0.17","0.17","07/03/2024 00:00:00","0.00","True","4"
"AITRU","10.50","10.71","26/01/2024 00:00:00","1.96","True","45"
"AIN","95.48","113.72","03/02/2023 00:00:00","16.04","True","402"
"AIXI","1.88","10.04","01/08/2023 00:00:00","81.27","True","223"
"AIRI","4.09","7,840.00","14/03/2006 00:00:00","99.95","True","6572"
"AIU","0.80","394.50","01/06/2018 00:00:00","99.80","True","2110"
"AIR","64.42","72.28","19/12/2023 00:00:00","10.87","True","83"
"AIZN","22.20","27.51","06/08/2021 00:00:00","19.30","True","948"
"AKA","10.46","182.28","16/11/2021 00:00:00","94.26","True","846"
"AKAN","0.18","118.10","21/04/2022 00:00:00","99.85","True","690"
"AJXA","25.24","27.56","31/10/2019 00:00:00","8.42","True","1593"
"AIRT","17.40","40.50","08/09/2021 00:00:00","57.04","True","915"
"AKBA","1.48","29.17","20/06/2014 00:00:00","94.94","True","3552"
"AJX","3.99","15.92","21/10/2019 00:00:00","74.94","True","1603"
"AKO_A","0.34","14.07","19/08/2022 00:00:00","97.58","True","570"
"AIZ","178.51","193.12","20/04/2022 00:00:00","7.57","True","691"
"AKO_B","0.34","14.07","19/08/2022 00:00:00","97.58","True","570"
"AKLI","0.35","14.07","19/08/2022 00:00:00","97.51","True","570"
"AIT","184.31","192.37","01/03/2024 00:00:00","4.19","True","10"
"AKRO","32.23","56.88","13/06/2023 00:00:00","43.34","True","272"
"AKYA","5.09","26.05","16/04/2021 00:00:00","80.46","True","1060"
"AKTS","0.63","18.58","05/02/2021 00:00:00","96.60","True","1130"
"AIV","7.76","9.60","12/08/2022 00:00:00","19.11","True","577"
"AJG","251.26","252.92","24/11/2023 00:00:00","0.66","True","108"
"AKTX","2.14","2,200.00","15/01/2014 00:00:00","99.90","True","3708"
"ALAR","14.35","2,550.00","21/08/2018 00:00:00","99.44","True","2029"
"ALCC","10.80","11.26","29/01/2024 00:00:00","4.12","True","42"
"AL_A","43.80","52.01","11/03/2021 00:00:00","15.79","True","1096"
"AL","43.76","52.01","11/03/2021 00:00:00","15.87","True","1096"
"ALBT","0.38","125.50","22/01/2019 00:00:00","99.70","True","1875"
"ALCY","10.56","10.60","23/01/2024 00:00:00","0.33","True","48"
"ALCE","0.43","10.89","21/11/2023 00:00:00","96.01","True","111"
"AKAM","110.46","327.62","31/12/1999 00:00:00","66.29","True","8837"
"ALCYU","10.63","10.73","06/12/2023 00:00:00","0.93","True","96"
"ALC","87.76","88.50","29/12/2021 00:00:00","0.83","True","803"
"ALEC","6.68","39.49","07/07/2021 00:00:00","83.07","True","978"
"ALGM","30.98","52.72","18/07/2023 00:00:00","41.24","True","237"
"ALDX","3.65","14.85","27/04/2021 00:00:00","75.42","True","1049"
"AKR","16.51","37.69","01/08/2016 00:00:00","56.20","True","2779"
"ALGS","0.84","34.94","20/01/2021 00:00:00","97.60","True","1146"
"ALEX","16.71","46.87","03/10/2017 00:00:00","64.35","True","2351"
"ALHC","5.36","27.27","21/06/2021 00:00:00","80.34","True","994"
"ALB","123.29","325.38","11/11/2022 00:00:00","62.11","True","486"
"ALIT","9.10","13.01","10/09/2021 00:00:00","30.09","True","913"
"ALIM","3.97","11.35","11/03/2021 00:00:00","65.02","True","1096"
"ALKT","23.75","47.69","30/04/2021 00:00:00","50.20","True","1046"
"ALGT","72.25","268.81","15/03/2021 00:00:00","73.12","True","1092"
"ALGN","314.03","729.92","08/09/2021 00:00:00","56.98","True","915"
"ALCO","27.14","64.85","06/07/2007 00:00:00","58.15","True","6093"
"ALE","58.01","108.09","10/06/2004 00:00:00","46.33","True","7214"
"ALG","203.27","225.21","12/02/2024 00:00:00","9.74","True","28"
"ALLG","1.02","20.92","28/03/2022 00:00:00","95.12","True","714"
"ALLE","129.99","148.13","03/09/2021 00:00:00","12.25","True","920"
"ALLK","1.43","153.66","09/02/2021 00:00:00","99.07","True","1126"
"ALLR","0.41","17,675.00","22/12/2021 00:00:00","100.00","True","810"
"ALLO","5.40","54.04","22/05/2020 00:00:00","90.01","True","1389"
"ALL_H","156.92","161.89","15/02/2024 00:00:00","3.07","True","25"
"ALKS","29.28","98.06","01/03/2000 00:00:00","70.14","True","8776"
"ALK","36.44","100.24","01/03/2017 00:00:00","63.65","True","2567"
"ALL_B","156.92","161.89","15/02/2024 00:00:00","3.07","True","25"
"ALLY","37.05","56.15","01/06/2021 00:00:00","34.02","True","1014"
"ALLT","2.15","28.03","20/06/2012 00:00:00","92.33","True","4282"
"ALL_J","156.92","161.89","15/02/2024 00:00:00","3.07","True","25"
"ALL_I","156.92","161.89","15/02/2024 00:00:00","3.07","True","25"
"ALL","156.69","161.89","15/02/2024 00:00:00","3.21","True","25"
"ALPP","0.79","112.00","01/03/2017 00:00:00","99.30","True","2567"
"ALRM","74.63","107.69","13/01/2021 00:00:00","30.70","True","1153"
"ALSAR","0.10","0.10","08/03/2024 00:00:00","0.00","True","3"
"ALSAW","0.01","0.01","08/03/2024 00:00:00","0.00","True","3"
"ALPN","36.59","80.64","21/08/2015 00:00:00","54.63","True","3125"
"ALSA","11.28","11.28","07/03/2024 00:00:00","0.00","True","4"
"ALSAU","11.53","11.58","08/11/2023 00:00:00","0.43","True","124"
"ALRN","5.83","298.20","04/10/2017 00:00:00","98.04","True","2350"
"ALNY","152.46","241.31","21/12/2022 00:00:00","36.82","True","446"
"ALTG_A","10.95","19.86","08/03/2023 00:00:00","44.86","True","369"
"ALTG","10.95","19.86","08/03/2023 00:00:00","44.86","True","369"
"ALT","10.42","133.20","26/05/2017 00:00:00","92.18","True","2481"
"ALTI","6.28","15.40","25/01/2023 00:00:00","59.22","True","411"
"ALRS","21.71","36.90","05/11/2021 00:00:00","41.17","True","857"
"ALTM","5.05","14.57","14/09/2022 00:00:00","65.33","True","544"
"ALTU","10.26","13.53","19/02/2021 00:00:00","24.17","True","1116"
"ALTUW","0.03","4.56","22/02/2021 00:00:00","99.42","True","1113"
"ALSN","74.12","76.23","06/03/2024 00:00:00","2.77","True","5"
"ALTR","82.74","92.26","09/02/2024 00:00:00","10.32","True","31"
"ALUR","2.72","10.69","15/06/2023 00:00:00","74.56","True","270"
"ALNT","32.97","44.88","03/03/2023 00:00:00","26.54","True","374"
"ALVO","15.50","17.27","26/02/2024 00:00:00","10.25","True","14"
"ALVOW","4.45","4.45","07/03/2024 00:00:00","0.00","True","4"
"ALTO","2.20","4,450.95","11/05/2006 00:00:00","99.95","True","6514"
"ALVR","0.73","46.81","04/12/2020 00:00:00","98.44","True","1193"
"ALOT","17.11","26.58","17/05/2019 00:00:00","35.64","True","1760"
"ALZN","1.20","202.50","15/06/2021 00:00:00","99.41","True","1000"
"ALXO","15.30","112.26","10/12/2020 00:00:00","86.37","True","1187"
"AMAL","23.93","27.59","30/01/2024 00:00:00","13.27","True","41"
"AM","13.38","22.57","01/06/2017 00:00:00","40.74","True","2475"
"AMBI","5.88","27.07","01/03/2023 00:00:00","78.28","True","376"
"ALV","118.25","118.93","07/03/2024 00:00:00","0.58","True","4"
"AMBA","56.12","216.84","08/12/2021 00:00:00","74.12","True","824"
"AMBP","3.51","12.15","13/08/2021 00:00:00","71.11","True","941"
"AMBO","1.83","73.63","16/07/2018 00:00:00","97.51","True","2065"
"AMBC","15.34","34.68","05/03/2014 00:00:00","55.77","True","3659"
"ALX","216.34","481.90","23/01/2015 00:00:00","55.11","True","3335"
"AMC","4.43","625.50","02/06/2021 00:00:00","99.29","True","1013"
"AMCR","9.40","13.49","06/06/2022 00:00:00","30.32","True","644"
"AMCX","12.00","86.27","16/07/2015 00:00:00","86.09","True","3161"
"AMH_G","36.85","43.61","31/12/2021 00:00:00","15.50","True","801"
"AMAT","200.00","212.61","07/03/2024 00:00:00","5.93","True","4"
"AMIX","2.80","5.94","02/02/2024 00:00:00","52.86","True","38"
"AMH","36.83","43.61","31/12/2021 00:00:00","15.55","True","801"
"AMLX","3.38","40.93","27/01/2023 00:00:00","91.74","True","409"
"AMH_H","36.85","43.61","31/12/2021 00:00:00","15.50","True","801"
"AMK","35.95","36.14","08/03/2024 00:00:00","0.53","True","3"
"AMG","158.80","228.02","28/04/2015 00:00:00","30.36","True","3240"
"AMED","93.00","314.16","25/01/2021 00:00:00","70.40","True","1141"
"AMLI","0.81","6.05","03/06/2016 00:00:00","86.58","True","2838"
"AMPG","1.78","18.00","16/02/2021 00:00:00","90.11","True","1119"
"AME","180.74","181.58","07/03/2024 00:00:00","0.47","True","4"
"AMPL","11.19","84.80","09/11/2021 00:00:00","86.80","True","853"
"AMPX","2.77","12.94","23/09/2022 00:00:00","78.59","True","535"
"AMPS","6.71","14.23","28/09/2022 00:00:00","52.85","True","530"
"AMD","202.03","211.38","07/03/2024 00:00:00","4.42","True","4"
"AMPH","45.46","65.00","08/08/2023 00:00:00","30.06","True","216"
"AMGN","275.59","324.56","01/02/2024 00:00:00","15.09","True","39"
"AMPE","1.70","3,165.00","24/10/2013 00:00:00","99.95","True","3791"
"AMP","409.64","415.47","06/03/2024 00:00:00","1.40","True","5"
"AMR","359.97","442.21","26/02/2024 00:00:00","18.60","True","14"
"AMKR","33.38","64.56","23/03/2000 00:00:00","48.29","True","8754"
