Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
PAPL,Pineapple Financial Inc. Common Stock,$7.09,0.55,8.41%,7122621.00,,,1867481,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$22.17,-0.11,-0.494%,,United States,,12057,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$19.34,-0.11,-0.566%,,United States,,4340,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$19.89,0.00,0.00%,,United States,,6,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$17.5325,-0.0275,-0.157%,,United States,,5165,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$17.42,0.00,0.00%,,United States,,114,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$16.50,0.15,0.917%,,United States,,1285,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$16.50,0.00,0.00%,,United States,,18,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$15.70,0.00,0.00%,,United States,,14,,
PED,Pedevco Corp. Common Stock,$0.5952,-0.0198,-3.22%,54746110.00,United States,,102936,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.4994,-0.0176,-3.404%,13251024.00,,2019,343317,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PLAG,Planet Green Holdings Corp. Common Stock,$1.67,-0.05,-2.907%,12162132.00,China,,11953,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.66,0.00,0.00%,179247708.00,Canada,,776416,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.58,0.04,2.597%,125976742.00,Israel,,1833022,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMI,Picard Medical Inc. Common Stock,$6.66,0.81,13.846%,481678806.00,,2025,7716261,Health Care,Medical/Dental Instruments
PMNT,Perfect Moment Ltd. Common Stock,$0.4472,0.0061,1.383%,14040659.00,United Kingdom,2024,370344,Consumer Discretionary,Apparel
PRK,Park National Corporation Common Stock,$171.31,-0.78,-0.453%,2753182455.00,United States,1994,53186,Finance,Major Banks
PTHS,Pelthos Therapeutics Inc. Common Stock,$32.16,3.94,13.962%,97835319.00,,2024,11183,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PW,Power REIT (MD) Common Stock,$0.98,-0.02,-2.00%,3321868.00,United States,1998,40950,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$3.80,0.10,2.703%,,United States,,102,,
PZG,Paramount Gold Nevada Corp. Common Stock,$1.05,0.01,0.962%,75021608.00,United States,2015,746336,Basic Materials,Metal Mining
RCG,RENN Fund Inc Common Stock,$2.6499,-0.0301,-1.123%,0.00,United States,,12427,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$0.98,-0.02,-2.00%,202413875.00,United States,,2262490,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.35,-1.08,-3.799%,602855373.00,United States,1999,197155,Energy,Oil & Gas Production
RLGT,Radiant Logistics Inc. Common Stock,$6.44,-0.02,-0.31%,303602066.00,United States,,94435,Industrials,Integrated Freight & Logistics
ROLR,High Roller Technologies Inc. Common Stock,$2.615,-0.0335,-1.265%,22180885.00,,2024,4437,Consumer Discretionary,Services-Misc. Amusement & Recreation
RVP,Retractable Technologies Inc. Common Stock,$0.796,0.0038,0.48%,23829979.00,United States,2001,16942,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$0.293,0.008,2.807%,8581919.00,,2024,191881,Real Estate,Real Estate
SACH,Sachem Capital Corp. Common Shares,$1.28,0.02,1.587%,60598129.00,United States,2017,789209,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$18.37,-0.0599,-0.325%,,United States,,3360,,
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$1.59,-0.05,-3.049%,3408133.00,,2021,69432,Consumer Staples,Beverages (Production/Distribution)
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$25.34,0.02,0.079%,1199653578.00,United States,2020,3083,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$23.76,-0.03,-0.126%,1124852763.00,United States,,6137,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$23.00,-0.24,-1.033%,1088872624.00,United States,2022,1678,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.95,0.0935,0.409%,1086505510.00,United States,2022,5266,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.565,0.045,0.191%,1115621017.00,United States,2022,4468,Real Estate,Real Estate Investment Trusts
SEB,Seaboard Corporation Common Stock,$3969.03,27.49,0.697%,3807065793.00,United States,1996,1091,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.4436,-0.0139,-3.038%,361392452.00,United States,,4548531,Industrials,Industrial Machinery/Components
SER,Serina Therapeutics Inc. Common Stock,$5.18,0.09,1.768%,53098046.00,,2018,62131,Health Care,Biotechnology: Pharmaceutical Preparations
SGN,Signing Day Sports Inc. Common Stock,$1.65,0.08,5.096%,6513839.00,,2023,368625,Technology,EDP Services
SIF,SIFCO Industries Inc. Common Stock,$7.0799,-0.0001,-0.001%,43756529.00,United States,1969,33473,Industrials,Aerospace
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$25.00,-2.96,-10.587%,3841707250.00,Mexico,1998,972,Industrials,Steel/Iron Ore
SLI,Standard Lithium Ltd. Common Shares,$2.95,-0.12,-3.909%,601928956.00,Canada,2021,1804328,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$4.30,0.10,2.381%,232686055.00,United States,,26247,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$5.15,-0.02,-0.387%,853662136.00,,2024,12784,,
SOAR,Volato Group Inc. Class A Common Stock,$1.58,0.06,3.947%,8865375.00,,2022,508888,Consumer Discretionary,Transportation Services
SRXH,SRX Health Solutions Inc. Common Stock,$0.3557,-0.0193,-5.147%,4149978.00,,2021,1043922,Consumer Staples,Beverages (Production/Distribution)
STRW,Strawberry Fields REIT Inc. Common Stock,$11.41,-0.45,-3.794%,148245509.00,,2023,35755,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$2.88,-0.02,-0.69%,261082855.00,United States,,300372,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$4.97,0.05,1.016%,1086591741.00,Canada,,5940430,Basic Materials,Precious Metals
SYNX,Silynxcom Ltd. Ordinary Shares,$1.55,0.06,4.027%,8194822.00,,2024,1526088,Consumer Staples,Consumer Electronics/Appliances
TGB,Taseko Mines Ltd. Common Stock,$3.46,0.13,3.904%,1096003831.00,Canada,,2580155,Basic Materials,Precious Metals
TGEN,Tecogen Inc. Common Stock,$6.61,-0.43,-6.108%,196256175.00,,2025,1222575,Industrials,Industrial Machinery/Components
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$1.59,0.18,12.766%,330537902.00,Canada,,669851,Basic Materials,Metal Mining
TMDE,TMD Energy Limited Ordinary Shares,$0.875,-0.0222,-2.474%,20619375.00,,2025,34802,Energy,Oil Refining/Marketing
TMP,Tompkins Financial Corporation Common Stock,$69.76,-0.16,-0.229%,1006746672.00,United States,1997,41196,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$1.99,0.15,8.152%,326840406.00,Canada,,659735,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$0.7801,-0.0221,-2.755%,37432682.00,United States,,113138,Consumer Discretionary,Movies/Entertainment
TOPP,Toppoint Holdings Inc. Common Stock,$1.99,0.07,3.646%,34825000.00,,2025,13236,Industrials,Trucking Freight/Courier Services
TOPS,TOP Ships Inc. Common Stock,$5.545,0.115,2.118%,25652262.00,Greece,,2235,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.3877,-0.017,-4.201%,3721126.00,United States,,195461,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$1.11,-0.02,-1.77%,8349974.00,,2023,94852,Energy,Oil & Gas Production
TRT,Trio-Tech International Common Stock,$5.36,-0.01,-0.186%,23116635.00,United States,1998,5223,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.4569,0.0522,12.898%,129249436.00,Canada,,4088585,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$4.31,-0.20,-4.435%,520317509.00,United States,,3230291,Industrials,Metal Fabrications
UAVS,AgEagle Aerial Systems Inc. Common Stock,$1.94,0.09,4.865%,66022726.00,United States,,2320372,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$11.82,0.65,5.819%,5252206918.00,Canada,,17162830,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$10.02,0.46,4.812%,304986616.00,United States,2024,2078388,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.45,-0.02,-1.361%,529000839.00,Canada,,3654633,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$2.91,0.16,5.818%,790771234.00,Canada,2017,2309070,Basic Materials,Metal Mining
USBC,USBC Inc. Common Stock,$0.7148,-0.1253,-14.915%,274650556.00,,,764680,Industrials,Industrial Machinery/Components
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$36.90,-0.49,-1.311%,0.00,United States,2004,282345,Finance,Investment Managers
UUU,Universal Safety Products Inc. Common Stock,$6.70,-1.32,-16.459%,15496343.00,United States,2003,698447,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$11.90,0.34,2.941%,2745031465.00,Canada,,10052610,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
VENU,Venu Holding Corporation Common Stock,$12.15,0.39,3.316%,489781457.00,United States,2024,164663,Consumer Discretionary,Services-Misc. Amusement & Recreation
VFL,abrdn National Municipal Income Fund Common Stock,$10.048,0.098,0.985%,0.00,United States,1993,66235,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$1.41,0.04,2.92%,176505337.00,United States,1986,1025609,Basic Materials,Precious Metals
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.57,0.18,2.145%,380559591.00,United States,1993,251880,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.611,0.009,1.495%,65740802.00,Singapore,2015,242374,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances
VNTG,Vantage Corp Class A Ordinary Shares,$5.92,0.08,1.37%,187886000.00,,2025,407964,,
VTAK,Catheter Precision Inc. Common Stock,$2.48,0.01,0.405%,3044855.00,,2018,41425,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$3.76,0.04,1.075%,1293342966.00,Canada,2024,3881022,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.54,0.03,1.987%,310537855.00,Canada,2011,656285,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.7171,0.00,0.00%,61832724.00,United States,,1423713,Basic Materials,Metal Mining
WYY,WidePoint Corporation Common Stock,$5.26,0.23,4.573%,51426526.00,United States,,90663,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.831,0.00,0.00%,74950441.00,United States,,392036,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.6128,-0.0172,-2.73%,79857474.00,United States,,90162,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.708,-0.0225,-3.08%,6310375.00,United States,2017,60221,Consumer Discretionary,Package Goods/Cosmetics
ZDGE,Zedge Inc. Class B Common Stock ,$2.93,-0.11,-3.618%,39941529.00,,2016,95304,Technology,Computer Software: Prepackaged Software
ZONE,CleanCore Solutions Inc. Class B Common Stock,$3.51,0.27,8.333%,39227219.00,,2024,5007501,Industrials,Industrial Machinery/Components
